item_id,bucket,wins,losses,matches,players,avg_buy_time_s,avg_sell_time_s,avg_buy_time_relative,avg_sell_time_relative,hero_id,matches_per_player,win_rate,sell_minus_buy_s,hero_name,item_name,type
2820116164,0,1038,822,1860,1396,2386.9387096774194,2699.527027027027,83.85566377354579,89.23498567170441,1,1.332378223495702,0.5580645161290323,312.5883173496077,Infernus,Diviner's Kevlar,upgrade
2829638276,0,94521,94726,189247,79190,338.5710526454845,1504.67163624196,15.042972754828819,62.906271227179545,1,2.3897840636443997,0.4994583797893758,1166.1005835964754,Infernus,Extra Regen,upgrade
2922054143,0,1942,2792,4734,3768,930.1732150401352,1597.2818614489688,39.66014180937439,66.43191866177777,1,1.2563694267515924,0.4102239121250528,667.1086464088336,Infernus,Rusted Barrel,upgrade
2947183272,0,39207,33445,72652,30011,1241.691405604801,2630.2693089430895,53.38678122188,86.16560633907895,1,2.4208456899136985,0.5396547927104554,1388.5779033382885,Infernus,Radiant Regeneration,upgrade
2951612397,0,231248,231975,463223,156620,890.6988016570853,1335.7562858377953,39.27226540763049,58.044279441963845,1,2.957623547439663,0.4992152807611021,445.05748418071005,Infernus,Duration Extender,upgrade
2956256701,0,242,294,536,418,1703.6138059701493,2199.74358974359,67.84434272771256,80.75948084097915,1,1.2822966507177034,0.45149253731343286,496.1297837734405,Infernus,Healing Nova,upgrade
2971868509,0,662,766,1428,976,1145.076330532213,2242.65329512894,48.68219703148986,81.62510021773693,1,1.4631147540983607,0.4635854341736695,1097.576964596727,Infernus,Bullet Resist Shredder,upgrade
3005970438,0,233956,199293,433249,149236,1785.006238906495,1934.1848169905106,74.09979992603593,85.84237882475946,1,2.903113189846954,0.5400035545379216,149.17857808401573,Infernus,Escalating Exposure,upgrade
3028234315,0,9074,6919,15993,10859,2341.1655724379416,2583.710144927536,84.03617704090375,87.59973311410744,1,1.4727875494981122,0.5673732257862815,242.54457248959443,Infernus,Witchmail,upgrade
3074274290,0,9546,9112,18658,8497,674.0040733197555,2353.216366158114,29.59294100490809,83.63159949259462,1,2.195833823702483,0.5116303998284918,1679.2122928383583,Infernus,Trophy Collector,upgrade
3077079169,0,3870,4718,8588,5391,803.6852585002329,1151.1024363979002,32.86567478134886,46.42081742337398,1,1.593025412724912,0.45062878435025616,347.41717789766733,Infernus,High-Velocity Rounds,upgrade
3140772621,0,10468,12320,22788,16177,1801.9497542566262,2347.8713318284426,72.58252877879593,82.73651243070171,1,1.4086666254558942,0.4593645778479902,545.9215775718164,Infernus,Bullet Resilience,upgrade
3144988365,0,650,822,1472,1049,1571.1990489130435,2305.45625,63.17487267993547,80.12745328687213,1,1.4032411820781696,0.44157608695652173,734.2572010869567,Infernus,Decay,upgrade
